id ymd run task_version session_time
10177 20060408 1 1VA 13:59:42
10177 20060408 2 4AV 13:50:57
10177 20060408 3 8AV 14:07:13
10177 20060408 4 9VA 14:14:35
10177 20070329 1 4AV 17:09:11
10177 20070329 2 8AV 17:01:39
10177 20070329 3 8VA 17:16:20
10177 20070329 4 9VA 16:54:16
10180 20060306 1 10VA 16:46:47
10180 20060306 2 3AV 17:01:19
10180 20060306 3 5VA 16:54:09
10180 20060306 4 8AV 16:38:56
10180 20070113 1 10AV 16:47:41
10180 20070113 2 10VA 17:01:53
10180 20070113 3 9AV 16:54:50
10181 20051212 1 10AV 15:06:31
10181 20051212 2 11VA 14:58:02
10181 20051212 3 4AV 15:18:12
10181 20051212 4 4VA 15:25:27
10181 20061216 1 12VA 11:39:57
10181 20061216 2 1AV 11:49:02
10181 20061216 3 7VA 12:03:20
10181 20061216 4 9AV 11:56:14
10181 20080102 1 10VA 14:57:56
10181 20080102 2 11AV 14:50:44
10181 20080102 3 8AV 15:12:09
10181 20080102 4 8VA 15:05:01
10181 20090112 1 10AV 17:32:41
10181 20090112 2 2VA 17:47:23
10181 20090112 3 3VA 17:25:03
10181 20090112 4 8AV 17:40:07
10181 20091221 1 1AV 17:53:24
10181 20091221 2 3AV 18:08:15
10181 20091221 3 3VA 18:00:27
10181 20091221 4 7VA 17:38:42
10183 20070526 1 12AV 13:52:23
10183 20070526 2 3AV 14:14:56
10183 20070526 3 8VA 14:07:36
10183 20070526 4 9VA 13:59:59
10183 20080517 1 1VA 12:02:03
10183 20080517 2 3AV 11:34:27
10183 20080517 3 6AV 11:52:03
10183 20080517 4 6VA 11:43:16
10183 20090214 1 10AV 12:17:57
10183 20090214 2 10VA 12:10:35
10183 20090214 3 12AV 12:03:35
10183 20090214 4 7VA 11:51:21
10184 20051210 1 11AV 16:35:42
10184 20051210 2 1AV 16:20:06
10184 20051210 3 7VA 16:43:11
10184 20051210 4 9VA 16:28:10
10184 20070526 1 11AV 12:41:56
10184 20070526 2 12VA 12:34:27
10184 20070526 3 4VA 12:56:45
10184 20070526 4 9AV 12:49:08
10184 20101120 1 10VA 16:29:29
10184 20101120 2 11AV 16:20:47
10184 20101120 3 11VA 16:48:04
10184 20101120 4 8AV 16:36:58
10184 20101120 5 8AV 16:55:02
10185 20060320 1 10AV 17:06:50
10185 20060320 2 11VA 16:51:50
10185 20060320 3 12AV 16:59:33
10185 20060320 4 5VA 17:14:16
10185 20070426 1 11VA 17:01:12
10185 20070426 2 12VA 16:53:36
10185 20070426 3 3AV 17:08:24
10185 20070426 4 7AV 16:46:04
